A,B,result
Recommender_system,Machine_learning,1
Kernel_(computing),Generic_programming,0
Document_classification,Machine_learning,1
Malware,Information_security,1
Undecidable_problem,Divide_and_conquer_algorithm,0
Recursively_enumerable_set,Knowledge_representation_and_reasoning,0
Parallel_computing,Numerical_analysis,0
Compiler_optimization,Digital_signature,0
Vector_processor,Interface_(computing),0
PSPACE,Computational_complexity_theory,1
Combinatorics,Mathematics,1
Semantics,Higher-order_function,0
Scripting_language,Mutual_exclusion,0
Mutual_exclusion,Part-of-speech_tagging,0
Analysis_of_algorithms,Graph_theory,1
Computer_graphics,Algorithm_design,1
Computer_science,Discrete_mathematics,1
Software_development,Object-oriented_programming,1
Random_walk,Expected_value,1
Scientific_visualization,Design_of_experiments,0
Abstraction_(computer_science),Reinforcement_learning,0
Algorithm,Discrete_mathematics,1
Computer_science,Logic,1
Statistical_hypothesis_testing,Motion_capture,0
Semantics,Packet_switching,0
System_programming,Index_(database),0
Parsing,Context-free_language,1
Undecidable_problem,Context-free_language,0
Programming_paradigm,High-level_programming_language,0
Unix,Robot,0
Parsing,Prolog,0
Random_graph,Combinatorics,1
Unix,Operating_system,1
Robot,Autonomous_robot,0
Signal_processing,Unix,0
Structured_programming,Analysis_of_algorithms,0
Computing,Computation,1
Support_vector_machine,Knowledge_representation_and_reasoning,0
Distributed_computing,Computer_programming,1
Hash_table,Data_structure,1
Message_passing,Theory_of_computation,0
Random_graph,Stochastic,0
Predicate_logic,Scope_(computer_science),0
Compiler,Computer_programming,1
Personal_computer,Computer,1
Undecidable_problem,Computer_science,1
Computer_science,Number_theory,1
Parallel_computing,Stochastic_process,0
Pipeline_(computing),Central_processing_unit,1
Knowledge_representation_and_reasoning,Data_structure,1
Database_design,Monte_Carlo_method,0
Approximation,String_searching_algorithm,0
Graph_theory,Graph_(mathematics),1
Calculus_of_variations,Integral,1
Prediction,Probability,1
Packet_switching,First-order_logic,0
Context-free_grammar,Computer_science,1
Mathematical_optimization,Mathematics,1
Deadlock,Operating_system,1
Quantum_cryptography,Procedural_programming,0
Ray_tracing_(graphics),Computational_geometry,1
Public-key_cryptography,Algorithm,1
Distributed_computing,Computer_network,1
Database,Integral,0
ML_(programming_language),Java_(programming_language),0
Quantum_cryptography,Automated_planning_and_scheduling,0
Machine_translation,Object_(computer_science),0
Message_Passing_Interface,Shading,0
Computer_vision,Computer_science,1
Gradient_descent,Mathematical_optimization,1
Programming_style,Computer_programming,1
Computer_network,Web_server,0
Memory_hierarchy,Image_processing,0
Coding_theory,Computer_science,1
Encryption,Model_checking,0
Iterative_method,Numerical_analysis,1
Index_(database),Computer_programming,1
Document_classification,Computer_science,1
Wireless_sensor_network,Communication,1
Transaction_processing,Concurrency_control,1
Newton's_method,Mathematical_optimization,1
Regular_language,Finite-state_machine,1
Number_theory,Web_browser,0
Mathematical_optimization,Mathematical_model,1
Mathematics,Social_network,0
Ordinary_differential_equation,Superscalar,0
Uncertainty,Genetic_algorithm,0
Type_system,Software_development,0
Object-oriented_programming,Data,1
Index_(database),Computer_science,1
Lazy_evaluation,Programming_language,1
Numerical_analysis,Vector_processor,0
Part-of-speech_tagging,Personal_computer,0
Hidden_Markov_model,Machine_learning,1
Memory_management,Network_security,0
Web_service,Packet_switching,0
Algorithm,Logic,1
Garbage_collection_(computer_science),Bayesian_network,0
Database_design,Relational_database_management_system,0
Boundary_value_problem,Matrix_(mathematics),0
Knowledge_representation_and_reasoning,Algorithm,1
Asymptotic_analysis,User_interface_design,0
Time_complexity,Algorithm,1
Database,Algorithm_design,1
Introduction_to_Algorithms,Speech_recognition,0
NP_(complexity),Turing_machine,1
Artificial_intelligence,Computer_programming,1
Entropy,Message_passing,0
Programming_paradigm,Computational_science,1
Recurrence_relation,Algorithm,1
Markov_chain,Web_server,0
Software_testing,Uncertainty,0
NP-complete,HTML,0
Graphical_model,Data,1
Unsupervised_learning,Program_analysis,0
Calculus,Large_deviations_theory,0
Parallel_algorithm,Algorithm,1
Rendering_(computer_graphics),Computer_graphics,1
Ordinary_differential_equation,Public-key_cryptography,0
Application_programming_interface,Computer_programming,1
Boundary_value_problem,Nonlinear_system,1
Data_mining,Programming_language,1
Knowledge_representation_and_reasoning,Mathematics,1
Parallel_computing,Time_complexity,1
Symbol_table,Scientific_modelling,0
Mathematical_model,Linear_programming,0
Abstraction_(computer_science),Finite_set,0
Parallel_computing,Lock_(computer_science),1
Machine_learning,Graph_theory,1
Index_(database),Database,1
Automated_theorem_proving,Mathematical_induction,1
Scheduling_(computing),Polymorphism_(computer_science),0
Polymorphism_(computer_science),Programming_language,1
Speech_recognition,Markov_chain,1
Interaction_design,User_interface,1
Parallel_algorithm,Divide_and_conquer_algorithm,0
Inheritance_(object-oriented_programming),Programming_language,1
Artificial_intelligence,Computational_complexity_theory,1
Cryptographic_hash_function,Information_security,1
Poisson_distribution,Expected_value,1
Game_theory,Decision_theory,0
Java_(programming_language),Computer,1
Data_mining,Digital_signature,0
Query_language,Computational_learning_theory,0
Linear_algebra,Mathematics,1
Theory_of_computation,Computer_science,1
Perl,Computer,1
Computational_geometry,Computer_science,1
Pushdown_automaton,Finite-state_machine,1
Computation,Entropy,0
Type_system,Reinforcement_learning,0
Garbage_collection_(computer_science),Computer_science,1
MapReduce,Parallel_computing,1
Newton's_method,Sentiment_analysis,0
Database,Data_structure,1
Prolog,Parsing,0
Java_(programming_language),Scope_(computer_science),1
Interface_(computing),Foundations_of_mathematics,0
Query_language,Computer_programming,1
Application_programming_interface,Programming_language,1
Speech_recognition,Artificial_intelligence,1
Introduction_to_Algorithms,Recurrence_relation,0
Natural_language,Sufficient_statistic,0
Finite-state_machine,Logic,1
Central_processing_unit,Computer,1
Graph_coloring,Newton's_method,0
Image_analysis,World_Wide_Web,0
Asymptotic_analysis,Stochastic_process,0
Internet,OSI_model,1
Artificial_intelligence,Reason,1
Linear_system,Memory_management,0
Debugging,Control_flow,1
Haskell_(programming_language),Random_variable,0
Database,Lazy_evaluation,0
Graphics,Formal_grammar,0
Machine_learning,Quantum_computer,0
Support_vector_machine,Semantics,0
Firewall_(computing),Functional_programming,0
Partial_differential_equation,Differential_equation,1
Monte_Carlo_method,Computation,1
Embedded_system,Microprocessor,1
Decision_theory,Algorithm,1
Rendering_(computer_graphics),Computer,1
Internet,Random_graph,0
Web_service,Support_vector_machine,0
Program_optimization,System_programming,0
User_interface_design,Software_design,0
CPU_cache,Computer,1
Control_flow,Scalability,0
File_system,Operating_system,1
PSPACE,Turing_machine,1
Floating_point,Routing,0
Finite_element_method,Numerical_analysis,1
C++,Object-oriented_programming,1
Boundary_value_problem,Partial_differential_equation,1
Quantum_cryptography,Relational_algebra,0
Context-free_grammar,Support_vector_machine,0
Algorithm,Mathematical_induction,1
Robotics,Artificial_intelligence,1
Virtual_memory,Operating_system,1
Martingale_(probability_theory),Expected_value,1
Parsing,Algorithm_design,1
Debugging,Computer_programming,1
Network_security,Computer_security,1
Human-computer_interaction,Interactivity,1
Mathematical_optimization,Matrix_(mathematics),1
Object-oriented_programming,Computer_science,1
User_interface_design,Computer,1
Semidefinite_programming,Linear_programming,1
NP_(complexity),Random_variable,0
Object-oriented_programming,Variable_(computer_science),1
NP_(complexity),User_interface,0
Discrete_mathematics,Algebra,1
Inference,High-level_programming_language,0
Computer_security,Computer_science,1
Embedded_system,Operating_system,1
Symmetric_multiprocessing,Concurrency_(computer_science),1
Spanning_tree,Mathematics,1
Computer_architecture,Mobile_device,0
Computer_architecture,Authentication,0
Object-oriented_programming,Design_pattern_(computer_science),1
PSPACE,Profiling_(computer_programming),0
Firewall_(computing),Application_programming_interface,0
Cryptanalysis,Algorithm,1
System_call,Operating_system,1
Programming_language,Visualization_(computer_graphics),0
Object-oriented_programming,Data_type,1
Data_mining,Algorithm,1
Kalman_filter,Expected_value,1
Lexical_analysis,Computer_science,1
Prediction,Recurrence_relation,0
World_Wide_Web,Computer,1
Probability_theory,Web_browser,0
List_of_undecidable_problems,Denotational_semantics,0
Robotics,Robot,1
Lexical_analysis,Introduction_to_Algorithms,0
Concurrency_(computer_science),Parallel_computing,1
Distributed_computing,Gradient_descent,0
Hidden_Markov_model,Artificial_intelligence,1
Index_(database),Server_(computing),0
Cryptography,Information_security,1
Round-off_error,Information_assurance,0
Scope_(computer_science),Approximation,0
Context-free_language,User_interface,0
Machine_learning,Computer_science,1
Computational_complexity_theory,Theory_of_computation,1
Kernel_(computing),Data_warehouse,0
Artificial_intelligence,Numerical_analysis,1
Context-free_grammar,Inheritance_(object-oriented_programming),0
Computational_complexity_theory,Complexity,1
Graph_theory,Ordinary_differential_equation,0
Lisp_(programming_language),Robot,0
Analysis_of_algorithms,Mathematical_induction,1
Scope_(computer_science),Programming_language,1
Machine_translation,Artificial_intelligence,1
Syntax,Computer_programming,0
Distributed_computing,Computational_problem,1
Computational_geometry,Computer_graphics,1
Microcode,Linear_algebra,0
Programmer,Finite_set,0
Regular_expression,Predicate_logic,0
Parsing,Natural_language,1
Neural_network,Machine_learning,1
Modular_arithmetic,Cryptographic_hash_function,0
Sufficient_statistic,Software_framework,0
Linear_system,Computing,0
Cryptography,Sparse_matrix,0
World_Wide_Web,Cryptography,0
Digital_electronics,Packet_switching,0
Parsing,Lexical_analysis,1
Theoretical_computer_science,Computer_science,1
Model_of_computation,Computational_complexity_theory,1
Distributed_computing,Relational_database,0
Unsupervised_learning,Debugging,0
Correlation_and_dependence,Random_variable,1
Data,Semidefinite_programming,0
Object-oriented_programming,High-level_programming_language,1
Game_theory,Randomized_algorithm,0
Knowledge_representation_and_reasoning,Ray_tracing_(graphics),0
Knowledge_representation_and_reasoning,Computational_complexity_theory,0
Fast_Fourier_transform,Artificial_intelligence,0
Divide_and_conquer_algorithm,SQL,0
Round-off_error,Randomization,0
Vector_processor,Parallel_computing,1
Combinational_logic,Information_assurance,0
Monte_Carlo_method,Statistical_inference,1
Data_type,PageRank,0
Database,Operating_system,1
Computational_science,Compiler_optimization,0
Parallel_algorithm,Newton's_method,0
Calculus_of_variations,Interpolation,0
Parsing,Formal_grammar,1
Parsing,Algorithm,1
Computational_geometry,Computational_science,1
Computer_graphics,Image,1
Variable_(computer_science),Scheduling_(computing),0
Polynomial,Array_data_structure,0
Analysis_of_algorithms,Computer_science,1
Sentiment_analysis,Natural_language_processing,1
Parallel_computing,Computing,1
Web_search_engine,Algorithm,1
Probability_theory,Entropy,0
Recursively_enumerable_set,Conditional_probability,0
Game_theory,Mathematical_optimization,1
Natural_language_processing,Assembly_language,0
Functional_programming,Recursion_(computer_science),1
Internet,Telecommunications_network,1
Inheritance_(object-oriented_programming),Object_(computer_science),1
Context-free_grammar,Server_(computing),0
Mathematical_induction,Atomicity_(database_systems),0
First-order_logic,Recursion,1
Object_(computer_science),Kalman_filter,0
Programmer,Inference,0
NP-complete,C_(programming_language),0
Question_answering,Introduction_to_Algorithms,0
Object-oriented_programming,Object_(computer_science),1
Lisp_(programming_language),Functional_programming,1
Matrix_(mathematics),Computer_vision,0
Randomized_algorithm,Cryptanalysis,0
Social_network,Compiler,0
Python_(programming_language),Computer_programming,1
Cryptography,Run_time_(program_lifecycle_phase),0
Assembly_language,Debugging,0
Ray_tracing_(graphics),Inter-process_communication,0
Lock_(computer_science),Data_warehouse,0
Stack_(data_structure),Array_data_structure,1
Inheritance_(object-oriented_programming),Object-oriented_programming,1
Computer_simulation,Memory_management,0
Application_software,Inter-process_communication,0
Operating_system,Random_graph,0
Prolog,String_(computer_science),1
Multi-core_processor,Vector_processor,1
Human-computer_interaction,Interface_(computing),1
Compiler,Regular_expression,1
Statistical_hypothesis_testing,Probability,1
Halting_problem,Inference,0
Geometric_modeling,Web_search_engine,0
Big_data,Internet,0
Dynamic_memory_allocation,Array_data_structure,1
Cryptanalysis,Cryptography,1
Data_type,Instruction_set,0
Machine_learning,Computer,1
Assembly_language,Computer_science,1
Approximation_algorithm,Introduction_to_Algorithms,1
Firewall_(computing),Computer_security,1
Volume_rendering,Computer_graphics,1
Probability,Uncertainty,1
Uncertainty,Sequence_alignment,0
Semantics,Syntax,1
Natural_language_processing,Artificial_intelligence,1
3D_modeling,Random_walk,0
Control_flow,High-level_programming_language,0
Reason,Database_management_system,0
Finite_element_method,Machine_learning,0
Packet_switching,Volume_rendering,0
Information_theory,Random_variable,1
OSI_model,User_interface_design,0
Data_(computing),Randomized_algorithm,0
Data_(computing),Motion_planning,0
Multi-core_processor,Central_processing_unit,1
Human-computer_interaction,Linear_system,0
B-tree,Ray_tracing_(graphics),0
Amortized_analysis,Kinematics,0
Semantics_of_programming_languages,Linear_system,0
Compiler_optimization,Python_(programming_language),0
Cryptography,Computer_security,1
3D_modeling,Algorithm,1
Recursion_(computer_science),Algorithm,1
Parsing,Computer_programming,1
Quantum_computer,Database_transaction,0
Bioinformatics,Pipeline_(computing),0
Relational_model,Mathematical_proof,0
Parallel_computing,Central_processing_unit,1
Computational_geometry,Finite-state_machine,0
Variable_(computer_science),Computer_programming,1
Relational_model,Object_(computer_science),1
Unsupervised_learning,Lazy_evaluation,0
First-order_logic,Floating_point,0
Dynamic_programming,Algorithm_design,1
Finite-state_machine,Computer_science,1
Statistical_hypothesis_testing,Data,1
Entropy,Probability,1
Algorithm,Abstraction_(computer_science),1
Continuous_function,File_system,0
Nonlinear_system,Coding_theory,0
Dynamic_programming,Algorithm,1
Big_data,Monte_Carlo_method,0
Program_optimization,Debugging,0
Control_flow,Statistics,0
Compiler_optimization,Nonlinear_system,0
Abstract_data_type,First-order_logic,0
Concurrency_(computer_science),Computer_science,1
Correlation_and_dependence,Theoretical_computer_science,0
Routing,Computer,1
Computer_network,Data_(computing),1
Artificial_intelligence,Application_programming_interface,0
SQL,Computer_programming,1
Polymorphism_(computer_science),Scripting_language,0
Scientific_visualization,Interpolation,0
Robot,Turing_machine,0
Polynomial,Halting_problem,0
Uncertainty,Run_time_(program_lifecycle_phase),0
Logic_programming,Run_time_(program_lifecycle_phase),0
Cryptography,Authentication,1
Divide_and_conquer_algorithm,NP_(complexity),0
Graph_(mathematics),Modular_arithmetic,0
Computer_programming,Computer,1
Inference,Polymorphism_(computer_science),0
Regular_language,Virtual_memory,0
Numerical_analysis,Internet,0
Economics,Machine_learning,0
Random_graph,Graph_theory,1
Statistical_inference,Software_design,0
Virtual_reality,C_(programming_language),0
Pattern_recognition,Computer_science,1
Cryptography,Mathematical_proof,1
Statistical_hypothesis_testing,Random_variable,1
C++,Computer,1
Unix,Computer,1
Flow_network,Introduction_to_Algorithms,1
Computability,Correlation_and_dependence,0
Logic,Foundations_of_mathematics,1
Gradient_descent,Graphics_processing_unit,0
Stochastic,Probability_theory,1
Quantum_mechanics,Probability,1
OSI_model,Semidefinite_programming,0
Calculus_of_variations,Approximation_algorithm,0
Programmer,Mechanical_engineering,0
Very_long_instruction_word,Quantum_computer,0
Dynamic_memory_allocation,Peer-to-peer,0
Numerical_analysis,Mathematics,1
Lazy_evaluation,Formal_methods,0
Instruction_set,Computer,1
Poisson_distribution,Formal_grammar,0
Mathematical_optimization,Algorithm,1
SQL,Computer_science,1
Computer_programming,Algorithm,1
Part-of-speech_tagging,Abstract_data_type,0
Scalability,Database_transaction,0
Distributed_computing,Computational_complexity_theory,1
Superscalar,Denotational_semantics,0
Control_flow,Social_network,0
Economics,Mathematical_optimization,1
Model_checking,Computer_science,1
Concurrent_computing,Computer,1
Concurrency_control,Computer_science,1
MATLAB,Flow_network,0
Cryptographic_hash_function,Encryption,1
Programming_paradigm,Computer_science,1
Poisson_distribution,Probability_theory,1
Message_passing,Computer_science,1
Numerical_analysis,Polynomial,1
Computer_vision,Artificial_intelligence,1
Integer,Kernel_(computing),0
Mathematical_optimization,Logic_programming,0
Computer_programming,Arithmetic,1
Robotics,Shortest_path_problem,0
Machine_learning,Probability,1
C++,Floating_point,1
Garbage_collection_(computer_science),Generic_programming,0
Kalman_filter,Random_variable,0
System_programming,Computer,1
Type_system,Programming_language,1
Computer_security,Encryption,0
Markov_chain,Conditional_probability,1
Digital_signature,Algorithm,1
Sparse_matrix,Matrix_(mathematics),1
Software_engineering,Programming_language,1
Lazy_evaluation,Matrix_(mathematics),0
Sufficient_statistic,Data,1
Design_of_experiments,Complexity,0
Computer_network,Nonlinear_system,0
Shared_memory,Prolog,0
Communications_protocol,Genetic_algorithm,0
Randomized_algorithm,CPU_cache,0
C_(programming_language),Arithmetic,1
Spanning_tree,Regular_expression,0
Database,Object_(computer_science),1
Central_processing_unit,Support_vector_machine,0
Microcode,Assembly_language,1
Compiler_optimization,Functional_programming,0
Operating_system,Input/output,1
Image_analysis,Network_security,0
Wireless_sensor_network,Database_system,0
Linear_programming,Algorithm,1
Web_service,Fixed_point_(mathematics),0
Linked_list,Large_deviations_theory,0
Database,Data_(computing),1
Computer_architecture,Computer,1
HTML,Computer,1
Embedded_system,Relational_algebra,0
Differential_equation,PSPACE,0
Compiler,Algorithm_design,0
Graphical_user_interface,Calculus,0
Algorithm,Virtual_reality,0
Graphical_model,Probability,1
Natural_language_processing,Natural_language,1
Database_design,Mathematical_induction,0
Turing_machine,Computer_science,1
Python_(programming_language),Imperative_programming,1
Flow_network,Algorithm_design,0
Algorithm,Computer_science,1
Cluster_analysis,Communication,0
Software_engineering,Computer_simulation,0
Hidden_Markov_model,Probability_theory,1
MapReduce,Variable_(computer_science),0
Authentication,Computer_programming,0
Programming_paradigm,Programming_language,1
Reason,Computer_simulation,0
Information_security,Image_analysis,0
Input/output,Computer,1
Boundary_value_problem,Quantum_cryptography,0
Autonomous_robot,Introduction_to_Algorithms,0
Knowledge_representation_and_reasoning,Logic,1
Lisp_(programming_language),Computer_science,1
Interactivity,Decision_theory,0
Autonomous_robot,Robotics,1
Machine_learning,Artificial_intelligence,1
Numerical_analysis,Floating_point,1
Poisson_distribution,Random_variable,1
Communication,Programming_paradigm,0
Model_of_computation,Relational_algebra,0
Instruction_set,Interface_(computing),0
Modular_arithmetic,Discrete_mathematics,1
Modular_arithmetic,Scope_(computer_science),0
Imperative_programming,Control_flow,1
Routing,OSI_model,1
Divide_and_conquer_algorithm,Algorithm,1
Mechanical_engineering,Java_(programming_language),0
Computational_complexity_theory,Computability,1
Discrete_mathematics,Java_(programming_language),0
Artificial_intelligence,Programming_language,1
Linear_system,Monad_(functional_programming),0
Decision_theory,Statistical_inference,1
Relational_database,Estimation_theory,0
Natural_language,Embedded_system,0
Virtual_memory,Memory_hierarchy,1
Interaction_design,Modular_arithmetic,0
Turing_machine,Computation,1
Volume_rendering,Rendering_(computer_graphics),1
Inference,Congestion_control,0
Congestion_control,Finite_element_method,0
Formal_grammar,String_(computer_science),1
Arithmetic,Software_testing,0
Data_mining,Spanning_tree,0
Propositional_calculus,Logic,1
Expert_system,Uncertainty,0
Eigenvalues_and_eigenvectors,Relational_database,0
Transaction_processing,Database_management_system,0
Robotics,Analysis_of_algorithms,1
Processor_register,Lexical_analysis,0
Relational_algebra,Memory_management,0
P_versus_NP_problem,Integer,1
Lexical_analysis,Regular_language,1
Cryptanalysis,Mathematics,1
Programmer,Object_(computer_science),0
Computer_multitasking,Query_optimization,0
Linear_algebra,Continuous_function,0
Garbage_collection_(computer_science),Game_theory,0
Calculus,Algebra,1
Database_normalization,Database,1
JavaScript,Programming_language,1
Integral,Mathematics,1
Instruction_set,Computer_architecture,1
Parsing,Finite-state_machine,1
Randomness,Mathematics,1
Natural_language_processing,HTML,0
Relational_model,Flow_network,0
SQL,Programming_language,1
Computer_architecture,Scientific_modelling,0
Model_of_computation,Computer_science,1
Signal_processing,Probability,1
Internet_Protocol_Suite,Computer_network,1
Deadlock,Geometric_modeling,0
Computer_vision,Analysis_of_algorithms,1
Pushdown_automaton,Web_service,0
Inheritance_(object-oriented_programming),Fast_Fourier_transform,0
Python_(programming_language),Parallel_algorithm,0
OSI_model,Computer_network,1
Computational_complexity_theory,Foundations_of_mathematics,1
Software_design,Computer_programming,1
Communications_protocol,Communication,1
Knowledge_representation_and_reasoning,Finite-state_machine,0
Sufficient_statistic,Robot,0
Neural_network,Amortized_analysis,0
Expected_value,Performance_tuning,0
High-level_programming_language,Computer,1
NP-complete,Algorithm,1
Fourier_analysis,Run_time_(program_lifecycle_phase),0
Regular_expression,Statistical_inference,0
Formal_language,Computer_science,1
Reinforcement_learning,Artificial_intelligence,1
Object-oriented_programming,Abstract_data_type,1
User_interface_design,Polymorphism_(computer_science),0
Superscalar,Multi-core_processor,1
Symmetric_multiprocessing,Garbage_collection_(computer_science),0
Linear_algebra,Polynomial,1
Pushdown_automaton,Automata_theory,1
Genetic_algorithm,Cloud_computing,0
Unsupervised_learning,Random_walk,0
Estimation_theory,Expected_value,1
Analysis_of_algorithms,Computation,1
Random_walk,First-order_logic,0
Cloud_computing,Operating_system,0
Computational_learning_theory,Distributed_computing,0
Formal_methods,Parametric_polymorphism,0
Design_of_experiments,Statistical_hypothesis_testing,1
Database_management_system,Computer,1
Syntax,Game_theory,0
Firewall_(computing),Information_assurance,1
Higher-order_function,Fourier_analysis,0
Denotational_semantics,Congestion_control,0
Neural_network,Document_classification,0
Parallel_algorithm,Computer_science,1
Transaction_processing,Database_management_system,1
Halting_problem,Computability,1
Object-oriented_programming,Big_data,0
Round-off_error,Gradient_descent,0
Lexical_analysis,Formal_grammar,1
Distributed_computing,Operating_system,1
Speech_recognition,Robot,0
P_versus_NP_problem,Dynamic_memory_allocation,0
Programming_paradigm,Differential_equation,0
Sufficient_statistic,Random_variable,1
Monte_Carlo_method,Instruction_set,0
Memory_management,Unsupervised_learning,0
Symbol_table,Newton's_method,0
Operating_system,Communication,0
Computational_geometry,Stochastic,0
Packet_switching,Visualization_(computer_graphics),0
Database_design,Human-computer_interaction,0
Knowledge_representation_and_reasoning,Computer_science,1
Suffix_tree,Programming_language,0
Recursion_(computer_science),Queue_(data_structure),0
Software_testing,Bayesian_probability,0
Data_structure,Data_(computing),1
Software_framework,Control_flow,1
NP-complete,Computer_science,1
Computer_graphics,Data,1
Formal_methods,Autonomous_robot,0
Procedural_programming,Computer_science,1
Dynamic_memory_allocation,Operating_system,1
Computer_graphics,Algorithm,1
ML_(programming_language),Programming_language,1
CPU_cache,Central_processing_unit,1
Artificial_intelligence,Computer_science,1
Malware,Flow_network,0
Dynamic_programming,Introduction_to_Algorithms,1
Finite_set,Mathematics,1
Haskell_(programming_language),Programming_language,1
Scientific_modelling,Rendering_(computer_graphics),0
Functional_programming,Variable_(computer_science),1
Software_development,JavaScript,0
Complexity,Algorithm,1
Newton's_method,Recursively_enumerable_set,0
Context-free_grammar,Mutual_exclusion,0
Parallel_computing,Digital_signature,0
Abstract_data_type,Computer_science,1
List_of_undecidable_problems,Computability,1
Martingale_(probability_theory),Automata_theory,0
Python_(programming_language),Variable_(computer_science),1
Martingale_(probability_theory),Robotics,0
Natural_language_processing,Unsupervised_learning,1
Object-oriented_programming,Programming_language,1
Computer_programming,Computational_complexity_theory,1
Recursion,Logic,1
Distributed_computing,Mutual_exclusion,1
Software_engineering,Theory_of_computation,1
Memory_hierarchy,Computer_vision,0
Communication,Program_analysis,0
Game_theory,Probability_theory,1
Statistics,User_interface,0
High-level_programming_language,Computer_science,1
Propositional_calculus,Automatic_programming,0
Web_service,Inter-process_communication,0
Cryptographic_hash_function,Interactivity,0
Very_long_instruction_word,Assembly_language,0
Arithmetic_logic_unit,Computer,1
Polymorphism_(computer_science),Programming_style,0
Data_analysis,Relational_model,0
Semantics,Prediction,0
Computational_complexity_theory,Integer,1
Security,MATLAB,0
Mobile_device,Atomicity_(database_systems),0
Relational_database,Big_data,0
Relational_model,Database,1
Mathematical_optimization,Linear_algebra,1
Data_analysis,Problem_solving,1
Database,Data,1
Inter-process_communication,Data,1
Computer_software,Computer,1
Type_system,Model_checking,0
Graph_theory,Computational_science,1
Transaction_processing,Computer_programming,1
Peer-to-peer,Control_flow,0
Parametric_polymorphism,Data_type,1
Syntax,Deadlock,0
Information_theory,Conditional_probability,1
Software_design,Computational_science,0
Pipeline_(computing),Fixed_point_(mathematics),0
Java_(programming_language),Computer_programming,1
Digital_signature,Feature_extraction,0
Regular_language,Computability,1
Sequence_alignment,Feature_extraction,0
Compiler_optimization,Cache_coherence,0
Computability,Computer_architecture,0
Pipeline_(computing),Design_of_experiments,0
Analysis_of_algorithms,Asymptotic_analysis,1
Eigenvalues_and_eigenvectors,Matrix_(mathematics),1
Superscalar,Lexical_semantics,0
Scheduling_(computing),Artificial_intelligence,0
C_(programming_language),Computer_programming,1
Exponential_family,Random_variable,1
Compiler,Parsing,1
Artificial_intelligence,Computational_science,1
Fourier_analysis,Inequality_(mathematics),0
Communications_protocol,Synchronization,1
Parallel_computing,Shared_memory,1
Time_complexity,Turing_machine,1
Query_language,Interface_(computing),0
Recommender_system,"Best,_worst_and_average_case",0
Computer_science,Mathematics,1
Geometry,Statistics,0
Randomized_algorithm,Introduction_to_Algorithms,1
Martingale_(probability_theory),Markov_chain,1
Internet,Computer_network,1
Tensor,Superscalar,0
Scheduling_(computing),Problem_solving,0
Economics,Software_testing,0
Lexical_analysis,Finite-state_machine,1
Sentiment_analysis,Machine_learning,1
Robotics,Computer_programming,1
Statistical_hypothesis_testing,Support_vector_machine,0
Theoretical_computer_science,Mathematics,1
Time_complexity,Computational_complexity_theory,1
Java_(programming_language),Stochastic_process,0
Tensor,Mathematics,1
Design_of_experiments,Kernel_(computing),0
NP_(complexity),Computer_science,1
Statistical_inference,Data,1
Query_language,Programming_language,1
Database_system,Database,1
Bayesian_probability,Conditional_probability,1
Coding_theory,Theoretical_computer_science,1
Approximation_algorithm,Computer_science,1
Matrix_(mathematics),Mathematics,1
Superscalar,Lock_(computer_science),0
Boundary_value_problem,System_call,0
Arithmetic_logic_unit,Combinational_logic,1
Quantum_mechanics,Randomness,1
Cryptanalysis,Database_design,0
Inference,Unix,0
Cryptography,Rendering_(computer_graphics),0
Randomized_algorithm,Conditional_probability,1
Lexical_analysis,Stack_(data_structure),0
Matrix_(mathematics),Sufficient_statistic,0
Concurrency_control,Algorithm_design,1
Correlation_and_dependence,Expected_value,1
Neural_network,Algorithm,1
Shared_memory,Martingale_(probability_theory),0
Relational_database,Analysis_of_algorithms,1
Mathematical_proof,Design_pattern_(computer_science),0
Robotics,Software_engineering,1
Decision_theory,Computational_geometry,0
Hidden_Markov_model,Dynamic_programming,1
Graph_theory,Mathematics,1
Compiler_optimization,Context-free_grammar,0
3D_computer_graphics,Algorithm,1
Recursion_(computer_science),Random_walk,0
Firewall_(computing),Network_security,1
Computer_security,Processor_register,0
3D_computer_graphics,Compiler_optimization,0
Microcode,Computer,1
Computer_vision,Algorithm_design,1
Traffic_analysis,Array_data_structure,0
Recursion,Control_flow,1
List_of_undecidable_problems,Congestion_control,0
Introduction_to_Algorithms,Vulnerability_(computing),0
C_(programming_language),Question_answering,0
Unsupervised_learning,Machine_learning,1
Central_processing_unit,Unix,0
Recommender_system,Abstract_data_type,0
Computability,Machine_translation,0
Formal_verification,Computer_science,1
Continuous_function,Suffix_tree,0
Formal_methods,Stochastic_process,0
Stochastic_process,Random_variable,1
Bayesian_network,Conditional_probability,1
Logic_programming,Computer_science,1
Boundary_value_problem,Ordinary_differential_equation,1
MATLAB,Programming_language,1
Iterative_method,Variable_(computer_science),0
Monte_Carlo_method,Algorithm,1
Run_time_(program_lifecycle_phase),Computer_science,1
Linear_programming,Economics,0
Finite_difference,Polynomial,1
Database_transaction,Round-off_error,0
Java_(programming_language),Compiler,1
Web_service,Computer_network,1
Data_structure,Computer_science,1
Cryptanalysis,Information_security,1
Computer_graphics,Personal_computer,1
Computer_graphics,Computer_science,1
Least_squares,Exponential_family,0
Parametric_polymorphism,Complexity,0
Communications_protocol,Round-off_error,0
Inference,OSI_model,0
Scripting_language,Programming_language,1
